id,prices,market_caps,total_volumes,date,new_date
nem,0.29723013975004314,2675071257.453158,157151211.45342365,1621123200,2021-05-16
nem,0.30602871771524665,2754258459.131191,233447038.36951557,1621209600,2021-05-17
nem,0.2796187619581768,2526112108.6785364,299058492.3631929,1621296000,2021-05-18
nem,0.28884467830235067,2627215037.355084,159835524.72917613,1621382400,2021-05-19
nem,0.19683555476278336,1771519992.668215,328608760.0122198,1621468800,2021-05-20
nem,0.2260388051203378,2038473313.8376353,270191393.93794525,1621555200,2021-05-21
nem,0.21147377146774954,1903263942.9982717,239939400.16052467,1621641600,2021-05-22
nem,0.19910522790392263,1793331327.8083663,182100673.7322259,1621728000,2021-05-23
nem,0.16697688792884566,1502791991.1926343,191353399.52861604,1621814400,2021-05-24
nem,0.1933947259520972,1747211332.5889244,212153823.51309296,1621900800,2021-05-25
nem,0.1920335956113726,1728302360.31032,175115885.86658913,1621987200,2021-05-26
nem,0.2171239920213938,1910625698.895583,175142753.5342864,1622073600,2021-05-27
nem,0.20782143156485808,1870392883.8759015,147809949.37728423,1622160000,2021-05-28
nem,0.18426444086145743,1658379967.5688522,166824320.48758593,1622246400,2021-05-29
nem,0.17953623258329618,1626870422.836601,122578322.85332465,1622332800,2021-05-30
nem,0.1846251684099065,1661626515.5045333,107950530.67048289,1622419200,2021-05-31
nem,0.19673793657015604,1773081863.4463866,115864321.0967881,1622505600,2021-06-01
nem,0.19060194621794532,1716202158.4362817,115301537.58479758,1622592000,2021-06-02
nem,0.19622991201164217,1762694747.852385,90514576.852483,1622678400,2021-06-03
nem,0.20726841705212168,1868060446.4917262,108268013.30820456,1622764800,2021-06-04
nem,0.18943774403594077,1704939696.1340294,130052752.90377292,1622851200,2021-06-05
nem,0.18215748478950233,1634570966.4627213,111790189.31153208,1622937600,2021-06-06
nem,0.18881238009765533,1692763078.0227263,103399389.33498964,1623024000,2021-06-07
nem,0.17169861265592237,1545287513.731603,101171745.66843504,1623110400,2021-06-08
nem,0.1667435089059956,1504315174.6785781,112178879.95438062,1623196800,2021-06-09
nem,0.1750163827637924,1575147444.6991153,115512517.24280703,1623283200,2021-06-10
nem,0.17087423973110027,1537868157.4090285,90122879.7876897,1623369600,2021-06-11
nem,0.16577706990402455,1487544095.652549,82207135.96760416,1623456000,2021-06-12
nem,0.15880994654537323,1429289518.749549,74668888.80032931,1623542400,2021-06-13
nem,0.16610862364215145,1494977612.6132548,70330431.0188924,1623628800,2021-06-14
nem,0.1735210454939792,1553816480.8617737,84160000.15037322,1623715200,2021-06-15
nem,0.1779941888196705,1606061934.1084678,86164474.89201564,1623801600,2021-06-16
nem,0.16545065302172735,1487753421.3280787,83868809.76550099,1623888000,2021-06-17
nem,0.16341741439670382,1465033916.8712597,63122506.77668361,1623974400,2021-06-18
nem,0.15256401173024994,1379132251.212804,72744776.0033062,1624060800,2021-06-19
nem,0.1483064019373726,1335430917.7289596,62114203.69684471,1624147200,2021-06-20
nem,0.14340295967917682,1287260752.4525979,78441542.99895301,1624233600,2021-06-21
nem,0.10990334050018677,996748096.2732402,104841760.49360138,1624320000,2021-06-22
nem,0.09655369169063097,864688077.8280115,141869940.30683514,1624406400,2021-06-23
nem,0.11290355774709959,1010694740.8179554,110558316.98005776,1624492800,2021-06-24
nem,0.1178584681674064,1059762583.3107655,87855521.39375702,1624579200,2021-06-25
nexo,2.339918585752548,1316841537.8548667,7061075.485916701,1616630400,2021-03-25
nexo,2.434952918965484,1360938145.8255138,8552762.085944837,1616716800,2021-03-26
nexo,2.6715133582385255,1493051256.9753964,6940437.256295358,1616803200,2021-03-27
nexo,2.5905116741983836,1458733058.013706,7596311.956492491,1616889600,2021-03-28
nexo,2.516662837592114,1410261469.3842626,6511529.721066756,1616976000,2021-03-29
nexo,2.661891029235176,1490698118.6049747,9232229.561792703,1617062400,2021-03-30
nexo,2.7575733321416034,1540007126.4262865,7506852.539112046,1617148800,2021-03-31
nexo,2.759186566375896,1540109240.9789052,7112241.440078005,1617235200,2021-04-01
nexo,2.7821719891338614,1563563451.4051635,7262136.5112553965,1617321600,2021-04-02
nexo,2.804971517693809,1570387173.2588773,7120086.3859570455,1617408000,2021-04-03
nexo,2.6798375155758065,1501235802.0930426,7031997.018735458,1617494400,2021-04-04
nexo,2.7636396171346784,1549147106.8983269,5743627.599483299,1617580800,2021-04-05
nexo,2.8580418854528062,1596165822.091737,7346079.147722644,1617667200,2021-04-06
nexo,2.8868985089767767,1615833360.749792,9995353.329351537,1617753600,2021-04-07
nexo,2.711639683000401,1517902193.5247605,7628267.889458309,1617840000,2021-04-08
nexo,2.8090669926875114,1572810241.118754,8325069.056690748,1617926400,2021-04-09
nexo,2.852049627487989,1598640667.9622195,5670230.479497955,1618012800,2021-04-10
nexo,2.877255345503465,1611452499.0450854,6984620.832367559,1618099200,2021-04-11
nexo,2.940439665594708,1647382978.9021208,9004044.58973864,1618185600,2021-04-12
nexo,3.215033301876611,1802880576.5807478,13310404.700683571,1618272000,2021-04-13
nexo,3.4247568660423773,1908059877.0167487,16843635.20528183,1618358400,2021-04-14
nexo,3.734866781473426,2082613775.169208,15626736.953738948,1618444800,2021-04-15
nexo,3.7997956427757327,2126408068.2170975,10510221.23441373,1618531200,2021-04-16
nexo,3.704482264841601,2063117955.5202599,12708637.747136593,1618617600,2021-04-17
nexo,3.6188583977623954,2028138164.721609,7524389.779808454,1618704000,2021-04-18
nexo,3.567922579975203,1998036680.4881742,13432683.827881664,1618790400,2021-04-19
nexo,3.41155376612476,1904938398.3388581,8628392.388109172,1618876800,2021-04-20
nexo,3.5540456228327124,1986096062.2460737,9176710.841017762,1618963200,2021-04-21
nexo,3.5595779068985656,1994793042.3571398,9475629.656703612,1619049600,2021-04-22
nexo,3.490285800146103,1957088305.2198,9427985.020548001,1619136000,2021-04-23
nexo,3.424612741961268,1918970225.1988208,10650763.872440422,1619222400,2021-04-24
nexo,3.320782481950411,1883541651.9759994,5297682.236037211,1619308800,2021-04-25
nexo,3.2950121839272537,1846695717.5248604,5481929.179877327,1619395200,2021-04-26
nexo,3.524124301458149,1971033452.0253804,9192979.529429872,1619481600,2021-04-27
nexo,3.6467303097404464,2040887730.640973,7041435.157066121,1619568000,2021-04-28
nexo,3.661338162494254,2052355750.3867533,9165893.656770894,1619654400,2021-04-29
nexo,3.579814452910525,2004485852.7917511,7169087.274425695,1619740800,2021-04-30
nexo,3.656967573584302,2045441000.2867296,8747117.251177428,1619827200,2021-05-01
nexo,3.7942857477790914,2127220664.9607015,6547197.153695314,1619913600,2021-05-02
nexo,3.6654354653074077,2053529089.8077078,7144584.83235494,1620000000,2021-05-03
nexo,3.9240642634605503,2193597888.5958896,10891808.929471467,1620086400,2021-05-04
nexo,3.6072365906395856,2045016117.2501223,14824294.228653723,1620172800,2021-05-05
nexo,3.7633449510220296,2107566149.960812,11062619.01216127,1620259200,2021-05-06
nexo,3.641627506745039,2042472602.1885583,12586765.867855046,1620345600,2021-05-07
nexo,3.628111917472414,2032308041.7966428,7054254.714763403,1620432000,2021-05-08
nexo,3.921173818417868,2192024544.2173696,12016567.149740009,1620518400,2021-05-09
nexo,3.849281242387683,2159917305.316898,6801111.24509489,1620604800,2021-05-10
nexo,3.8188194938765605,2143473258.0339363,8382864.8361288775,1620691200,2021-05-11
nexo,3.912347496650835,2186391203.0503793,5896172.783059828,1620777600,2021-05-12
nexo,3.631607841529594,2076439076.5129726,7805624.822821418,1620864000,2021-05-13
nexo,3.519518931023523,1962797388.5222502,12643270.240840327,1620950400,2021-05-14
nexo,3.910901419444812,2188687638.022878,7839923.20673435,1621036800,2021-05-15
nexo,3.38829048538393,1892619502.7334218,11617523.22022772,1621123200,2021-05-16
nexo,3.373435615018657,1872783806.2916703,9881495.433829933,1621209600,2021-05-17
nexo,3.1082033047602455,1748535082.459187,11998781.352047596,1621296000,2021-05-18
nexo,3.124269887436626,1736036715.4131355,8928732.75645719,1621382400,2021-05-19
nexo,2.151695526974351,1239090395.9684577,31635941.458005063,1621468800,2021-05-20
nexo,2.4549000983578932,1376891339.4112906,15856250.291239431,1621555200,2021-05-21
nexo,2.0046503740575985,1122055348.622947,20155659.65360051,1621641600,2021-05-22
nexo,1.8679324999962188,1048069201.2714099,12920823.893296449,1621728000,2021-05-23
nexo,1.4778697352239079,820455647.8401961,24764925.983162228,1621814400,2021-05-24
nexo,2.091399421890112,1174470822.1507459,20298967.012239344,1621900800,2021-05-25
